,Company Name,Job Title,Salaries Reported,Location,Salary,,,
157,DONE by NONE,Data Scientist,2,Bangalore,750734,,,
158,Accentue,Data Scientist,2,Bangalore,1319401,,,
159,SymphonyAI,Data Scientist,2,Bangalore,964,,,
160,First Student,Data Scientist,2,Bangalore,41750,,,
161,Datamatics Global Services,Data Scientist,2,Bangalore,1223165,,,
162,Razorpay,Data Scientist,2,Bangalore,1423985,,,
163,NTT Ltd.,Data Scientist,2,Bangalore,134323,,,
164,mfine,Data Scientist,2,Bangalore,2050962,,,
165,Marlabs,Data Scientist,2,Bangalore,1304028,,,
166,Optum Global Solutions,Data Scientist,2,Bangalore,1213107,,,
167,Reckonsys,Data Scientist,2,Bangalore,111147,,,
168,Aruba Networks,Data Scientist,2,Bangalore,1518492,,,
169,Intellicar,Data Scientist,2,Bangalore,1327250,,,
170,ORMAE,Data Scientist,2,Bangalore,16862,,,
171,CROPIN TECHNOLOGY SOLUTIONS,Data Scientist,2,Bangalore,18830,,,
172,Belong,Data Scientist,2,Bangalore,1433532,,,
173,Mobile Premier League,Data Scientist,2,Bangalore,2404581,,,
174,Smiths Detection,Data Scientist,2,Bangalore,1560483,,,
175,Shubh Loans,Data Scientist,2,Bangalore,996878,,,
176,TCS,Data Scientist,2,Bangalore,294363,,,
177,Aditya Birla Group,Data Scientist,2,Bangalore,1635202,,,
178,Morgan Stanley,Data Scientist,2,Bangalore,1299238,,,
179,Publicis Sapient,Data Scientist,2,Bangalore,33050,,,
180,DataVal Analytics,Data Scientist,2,Bangalore,57921,,,
181,Thomson Reuters,Data Scientist,2,Bangalore,1532945,,,
182,Numerify,Data Scientist,2,Bangalore,2530666,,,
183,Kabbage,Data Scientist,2,Bangalore,2065471,,,
184,Loyalytics Consulting,Data Scientist,2,Bangalore,712128,,,
185,Monsanto Company,Data Scientist,2,Bangalore,1975970,,,
186,FOKAL,Data Scientist,2,Bangalore,1085362,,,
187,Sutherland,Data Scientist,2,Bangalore,1064862,,,
188,Hypersonix (CA),Data Scientist,2,Bangalore,3146934,,,
189,Boeing,Data Scientist,2,Bangalore,2266312,,,
190,Utopus Insights,Data Scientist,2,Bangalore,1163045,,,
191,Apple,Data Scientist,2,Bangalore,857370,,,
192,GetupForChange Services,Data Scientist,2,Bangalore,56808,,,
193,MIQ Logistics,Data Scientist,2,Bangalore,601398,,,
194,Zendrive,Data Scientist,2,Bangalore,1574844,,,
195,Honeywell,Data Scientist,2,Bangalore,70114,,,
196,Paytm,Data Scientist,2,Bangalore,549688,,,
197,Unilever,Data Scientist,2,Bangalore,1705561,,,
198,Conduent,Data Scientist,2,Bangalore,846242,,,
199,3K Technologies,Data Scientist,2,Bangalore,798116,,,
200,DONE by NONE,Data Scientist,2,Bangalore,15033,,,
201,Netenrich Inc.,Data Scientist,2,Bangalore,1164765,,,
202,Majorel,Data Scientist,2,Bangalore,112271,,,
203,Polynomial.Ai,Data Scientist,2,Bangalore,500036,,,
204,HARMAN,Data Scientist,2,Bangalore,638755,,,
205,Mbb Labs,Data Scientist,2,Bangalore,100392,,,
206,Analytics Vidhya,Data Scientist,2,Bangalore,12721,,,
207,KPMG,Data Scientist,2,Bangalore,874565,,,
208,Inference Labs,Data Scientist,2,Bangalore,53107,,,
209,Cartesian Consulting,Data Scientist,2,Bangalore,954426,,,
210,ZedEye Labs,Data Scientist,2,Bangalore,77818,,,
211,McAfee,Data Scientist,2,Bangalore,1181838,,,
212,Zinnov Management Consulting,Data Scientist,2,Bangalore,1068503,,,
213,Microsoft,Data Scientist,2,Bangalore,83857,,,
214,Simpl,Data Scientist,2,Bangalore,1962841,,,
215,Unisys,Data Scientist,2,Bangalore,1104704,,,
216,Shaw Academy,Data Scientist,2,Bangalore,1433708,,,
217,Rakuten,Data Scientist,2,Bangalore,1929554,,,
218,Blue Yonder,Data Scientist,2,Bangalore,2184214,,,
219,SalesKen,Data Scientist,2,Bangalore,1039792,,,
220,Danske IT and Support Services,Data Scientist,2,Bangalore,831774,,,
221,Samsung Electronics,Data Scientist,2,Bangalore,2197572,,,
222,Sonata Software,Data Scientist,2,Bangalore,627332,,,
223,Merck KGaA,Data Scientist,2,Bangalore,827767,,,
224,GE,Data Scientist,2,Bangalore,835,,,
225,InViz AI Solutions,Data Scientist,2,Bangalore,776836,,,
226,Sumyag,Data Scientist,2,Bangalore,29520,,,
227,Samsung R&D Institute India - Bangalore,Data Scientist,2,Bangalore,1975545,,,
228,Quess,Data Scientist,2,Bangalore,781491,,,
229,QuEST Global,Data Scientist,2,Bangalore,1408375,,,
230,Ong & Shan,Data Scientist,2,Bangalore,183,,,
231,PayU,Data Scientist,2,Bangalore,2018938,,,
232,Encora,Data Scientist,2,Bangalore,1256429,,,
233,Tata Consultancy Services,Data Scientist,2,Bangalore,118986,,,
234,Accenture,Data Scientist,2,Bangalore,59606,,,
235,Walmart eCommerce,Data Scientist,2,Bangalore,243613,,,
236,Nivetti Systems,Data Scientist,2,Bangalore,747000,,,
237,Prescience,Data Scientist,2,Bangalore,1437318,,,
238,Thoughtworks,Data Scientist,2,Bangalore,865467,,,
239,Prognos Health,Data Scientist,2,Bangalore,132347,,,
240,TECH I.S,Data Scientist,2,Bangalore,66161,,,
241,Zeta Suite,Data Scientist,2,Bangalore,1277486,,,
242,Halliburton,Data Scientist,2,Bangalore,820544,,,
243,Apar Technologies,Data Scientist,2,Bangalore,1624875,,,
244,DataMites,Data Scientist,2,Bangalore,529123,,,
245,Cerner,Data Scientist,2,Bangalore,1392815,,,
246,Juniper Networks,Data Scientist,2,Bangalore,2561949,,,
247,Idexcel,Data Scientist,2,Bangalore,709784,,,
248,L&T Technology Services,Data Scientist,2,Bangalore,555530,,,
249,Tiger Analytics,Data Scientist,2,Bangalore,631299,,,
250,Capital One,Data Scientist,2,Bangalore,1588612,,,
251,Zeotap,Data Scientist,2,Bangalore,75190,,,
252,Bright Money,Data Scientist,2,Bangalore,2739727,,,
253,Hakkasan Group,Data Scientist,1,Bangalore,589007,,,
254,Standard Chartered Global Business Services,Data Scientist,1,Bangalore,2682633,,,
255,Ambee (India),Data Scientist,1,Bangalore,920903,,,
256,Intuit,Data Scientist,1,Bangalore,3095345,,,
257,Diageo,Data Scientist,1,Bangalore,1659175,,,
258,Perpule,Data Scientist,1,Bangalore,1292428,,,
259,Tavant,Data Scientist,1,Bangalore,561186,,,
260,Mahindra,Data Scientist,1,Bangalore,1079751,,,
261,Biocon,Data Scientist,1,Bangalore,507740,,,
262,Snipe Tech Pvt Ltd.,Data Scientist,1,Bangalore,33320,,,
263,Hewlett-Packard,Data Scientist,1,Bangalore,2204142,,,
264,Ithink Technologies,Data Scientist,1,Bangalore,313195,,,
265,Freshers.com,Data Scientist,1,Bangalore,46237,,,
266,Exalca Technologies,Data Scientist,1,Bangalore,353277,,,
267,Happay,Data Scientist,1,Bangalore,458420,,,
268,Panasonic,Data Scientist,1,Bangalore,1924646,,,
269,NightLight Pediatric Urgent Care,Data Scientist,1,Bangalore,55000,,,
270,Trinity Mobility,Data Scientist,1,Bangalore,636742,,,
271,CronLabs Solutions,Data Scientist,1,Bangalore,370227,,,
272,CoRover,Data Scientist,1,Bangalore,1999227,,,
273,Alfonso & Associates Consulting,Data Scientist,1,Bangalore,3530641,,,
274,EdgeVerve Systems,Data Scientist,1,Bangalore,1148909,,,
275,Affle,Data Scientist,1,Bangalore,933286,,,
276,Qualcomm,Data Scientist,1,Bangalore,128464,,,
277,Monty Telecom Development,Data Scientist,1,Bangalore,683496,,,
278,Philips Lighting,Data Scientist,1,Bangalore,23,,,
279,Vervenest,Data Scientist,1,Bangalore,341109,,,
280,Avail Finance,Data Scientist,1,Bangalore,20880,,,
281,YDI Solutions,Data Scientist,1,Bangalore,366410,,,
282,AIEnterprise,Data Scientist,1,Bangalore,712525,,,
283,GE Power,Data Scientist,1,Bangalore,1269350,,,
284,GLOBALFOUNDRIES,Data Scientist,1,Bangalore,75245,,,
285,Applied Data Finance,Data Scientist,1,Bangalore,41305,,,
286,Trendwise Analytics,Data Scientist,1,Bangalore,481017,,,
287,HackerEarth,Data Scientist,1,Bangalore,140685,,,
288,Quadrant 4 Systems,Data Scientist,1,Bangalore,1026478,,,
289,Arcadix,Data Scientist,1,Bangalore,634675,,,
290,Algebra Software Analytics,Data Scientist,1,Bangalore,1078947,,,
291,Automation Anywhere,Data Scientist,1,Bangalore,3200000,,,
292,IBM Interactive Experience,Data Scientist,1,Bangalore,803916,,,
293,TEKsystems,Data Scientist,1,Bangalore,1134960,,,
294,Acalvio,Data Scientist,1,Bangalore,2442736,,,
295,Genesis Group Software Developers,Data Scientist,1,Bangalore,207746,,,
296,PokerStars,Data Scientist,1,Bangalore,208801,,,
297,XYZ,Data Scientist,1,Bangalore,676,,,
298,The Self Employed Association,Data Scientist,1,Bangalore,342781,,,
299,Bounce,Data Scientist,1,Bangalore,1855822,,,
300,Goldman Sachs,Data Scientist,1,Bangalore,122137,,,
301,Algo8.ai,Data Scientist,1,Bangalore,146564,,,
302,Xenon Automotive,Data Scientist,1,Bangalore,35424,,,
303,ALTEN,Data Scientist,1,Bangalore,461,,,
304,Diverse Lynx,Data Scientist,1,Bangalore,1102652,,,
305,Red Hat,Data Scientist,1,Bangalore,990712,,,
306,Adobe,Data Scientist,1,Bangalore,1,,,
307,Altimetrik,Data Scientist,1,Bangalore,45538,,,
308,Informatica,Data Scientist,1,Bangalore,61861,,,
309,Falabella,Data Scientist,1,Bangalore,1605217,,,
310,Toastmasters International,Data Scientist,1,Bangalore,818581,,,
311,KYC Hub,Data Scientist,1,Bangalore,202796,,,
312,Texas Instruments,Data Scientist,1,Bangalore,1176880,,,
313,MResult Services,Data Scientist,1,Bangalore,62,,,
314,Vumonic Technologies,Data Scientist,1,Bangalore,10936,,,
315,SenSight Technologies,Data Scientist,1,Bangalore,14988,,,
316,Utopia,Data Scientist,1,Bangalore,51,,,
317,TAG Solutions,Data Scientist,1,Bangalore,1462163,,,
318,Tesla,Data Scientist,1,Bangalore,1574637,,,
319,UnitedHealth Group,Data Scientist,1,Bangalore,27090,,,
320,Bestintown Analytics,Data Scientist,1,Bangalore,23616,,,
321,BRIDGEi2i,Data Scientist,1,Bangalore,306,,,
322,Defence Research & Development Organisation,Data Scientist,1,Bangalore,39599,,,
323,dataZen Engineering,Data Scientist,1,Bangalore,15348,,,
324,UnitedHealthCare,Data Scientist,1,Bangalore,825425,,,
325,SelotSoft,Data Scientist,1,Bangalore,1972136,,,
326,T-Mobile,Data Scientist,1,Bangalore,23,,,
327,ICICI Bank,Data Scientist,1,Bangalore,224948,,,
328,CROPIN TECHNOLOGY SOLUTIONS,Data Scientist,1,Bangalore,58159,,,
329,Stayzilla,Data Scientist,1,Bangalore,465,,,
330,BITS Pilani,Data Scientist,1,Bangalore,5742016,,,
331,Hashworks,Data Scientist,1,Bangalore,1343505,,,
332,Citicorp Services India,Data Scientist,1,Bangalore,1083371,,,
333,Persistent Networks,Data Scientist,1,Bangalore,12384,,,
334,Nhai,Data Scientist,1,Bangalore,81858,,,
335,The Data Team,Data Scientist,1,Bangalore,46,,,
336,Decision Minds,Data Scientist,1,Bangalore,1822656,,,
337,SeedOlabs,Data Scientist,1,Bangalore,498832,,,
338,Symphony Teleca,Data Scientist,1,Bangalore,852479,,,
339,Opia Labs,Data Scientist,1,Bangalore,2106848,,,
340,Customer Centria,Data Scientist,1,Bangalore,444272,,,
341,Adecco,Data Scientist,1,Bangalore,349,,,
342,Rplus Analytics,Data Scientist,1,Bangalore,808,,,
343,ExperienceFlow,Data Scientist,1,Bangalore,711000,,,
344,Praktice Ai,Data Scientist,1,Bangalore,32508,,,
345,Yottaasys,Data Scientist,1,Bangalore,1472145,,,
346,Instamojo,Data Scientist,1,Bangalore,808,,,
347,TheMathCompany,Data Scientist,1,Bangalore,1444788,,,
348,IQLECT,Data Scientist,1,Bangalore,11107,,,
349,qwerty12,Data Scientist,1,Bangalore,1220411,,,
350,Institute of Engineering & Management,Data Scientist,1,Bangalore,1708322,,,
351,Vsoft,Data Scientist,1,Bangalore,464302,,,
352,TheMathCompany,Data Scientist,1,Bangalore,578857,,,
353,Alackrity Consols,Data Scientist,1,Bangalore,404424,,,
354,Neudesic,Data Scientist,1,Bangalore,991803,,,
355,KPMG,Data Scientist,1,Bangalore,19246,,,
356,Mad Street Den Systems,Data Scientist,1,Bangalore,672260,,,
357,CENTURYLINK,Data Scientist,1,Bangalore,1399929,,,
358,Educational Initiatives,Data Scientist,1,Bangalore,307,,,
359,RS Software,Data Scientist,1,Bangalore,621103,,,
360,Happiest Minds Technologies,Data Scientist,1,Bangalore,782543,,,
361,Hdfc,Data Scientist,1,Bangalore,41479,,,
362,Digital Trainee,Data Scientist,1,Bangalore,2034018,,,
363,Datafoundry,Data Scientist,1,Bangalore,1158483,,,
364,Enterprise Bot,Data Scientist,1,Bangalore,306,,,
365,Navriti Technologies,Data Scientist,1,Bangalore,21813,,,
366,ABCDEF,Data Scientist,1,Bangalore,455555,,,
367,Toptal,Data Scientist,1,Bangalore,1500,,,
368,Altisource,Data Scientist,1,Bangalore,1321256,,,
369,Atlassian,Data Scientist,1,Bangalore,200,,,
370,SunEdison,Data Scientist,1,Bangalore,637,,,
371,Fellowship.AI,Data Scientist,1,Bangalore,3115175,,,
372,Sonasoft,Data Scientist,1,Bangalore,1348080,,,
373,Manthan Studio,Data Scientist,1,Bangalore,51,,,
374,Trell,Data Scientist,1,Bangalore,160580,,,
375,Fresherworld.com,Data Scientist,1,Bangalore,513743,,,
376,Maybank,Data Scientist,1,Bangalore,1490281,,,
377,ABC Consultants,Data Scientist,1,Bangalore,4282144,,,
378,QUILT.AI,Data Scientist,1,Bangalore,1381355,,,
379,Firstsource Solutions,Data Scientist,1,Bangalore,1534839,,,
380,dhiOmics Analytics Solutions,Data Scientist,1,Bangalore,328796,,,
381,Genpact,Data Scientist,1,Bangalore,62219,,,
382,Inspirisys Solutions Limited,Data Scientist,1,Bangalore,519365,,,
383,Maybank,Data Scientist,1,Bangalore,56606,,,
384,Infosys,Data Scientist,1,Bangalore,200979,,,
385,Proven Consult,Data Scientist,1,Bangalore,772648,,,
386,Bounce,Data Scientist,1,Bangalore,32808,,,
387,GyanSys,Data Scientist,1,Bangalore,1825160,,,
388,Goldman Sachs,Data Scientist,1,Bangalore,3500000,,,
389,Boston Consulting Group,Data Scientist,1,Bangalore,872604,,,
390,NaviRisk Consulting,Data Scientist,1,Bangalore,580150,,,
391,GoodWorkLabs Services,Data Scientist,1,Bangalore,1124063,,,
392,Tech Systems,Data Scientist,1,Bangalore,75,,,
393,LendingKart,Data Scientist,1,Bangalore,150,,,
394,BioXcel Corporation,Data Scientist,1,Bangalore,27,,,
395,K-Arogia Advisory Services,Data Scientist,1,Bangalore,26122,,,
396,Lumen,Data Scientist,1,Bangalore,2903556,,,
397,Autodesk,Data Scientist,1,Bangalore,1868000,,,
398,Sravathi Advance Process Technologies,Data Scientist,1,Bangalore,30418,,,
399,CSS Corporation,Data Scientist,1,Bangalore,1709915,,,
400,Pegasystems,Data Scientist,1,Bangalore,1198038,,,
401,Flutura,Data Scientist,1,Bangalore,1103782,,,
402,Tata Elxsi,Data Scientist,1,Bangalore,950636,,,
403,Credit Saison India,Data Scientist,1,Bangalore,2332149,,,
404,AXA GO Business Operations,Data Scientist,1,Bangalore,1477340,,,
405,CSC,Data Scientist,1,Bangalore,1043598,,,
406,BigHaat,Data Scientist,1,Bangalore,15049,,,
407,Silicon Valley Bank,Data Scientist,1,Bangalore,226047,,,
408,Aashish sharma,Data Scientist,1,Bangalore,1225579,,,
409,LinkedIn,Data Scientist,1,Bangalore,54962,,,
410,Datalicious,Data Scientist,1,Bangalore,1621204,,,
411,Quinbay,Data Scientist,1,Bangalore,304193,,,
412,Bajaj Finance,Data Scientist,1,Bangalore,637,,,
413,Real Time Signals,Data Scientist,1,Bangalore,344648,,,
414,Zealeers Technologies,Data Scientist,1,Bangalore,63,,,
415,Alliance Data,Data Scientist,1,Bangalore,35306,,,
416,Lava International,Data Scientist,1,Bangalore,641727,,,
417,Microland,Data Scientist,1,Bangalore,3070054,,,
418,Rubixe,Data Scientist,1,Bangalore,30953,,,
419,Piramal Enterprises,Data Scientist,1,Bangalore,1430000,,,
420,Synopsys,Data Scientist,1,Bangalore,382412,,,
421,Sahaj Software Solutions,Data Scientist,1,Bangalore,904403,,,
422,AnalytixLabs,Data Scientist,1,Bangalore,43081,,,
423,Global Talent Pool,Data Scientist,1,Bangalore,1980492,,,
424,Société Générale,Data Scientist,1,Bangalore,9568943,,,
425,Digité,Data Scientist,1,Bangalore,20740,,,
426,Naveen Engineering,Data Scientist,1,Bangalore,10318,,,
427,Rubicon Red,Data Scientist,1,Bangalore,46750,,,
428,Arjun Kappor,Data Scientist,1,Bangalore,75,,,
429,MiQ,Data Scientist,1,Bangalore,1674802,,,
430,Nityo Infotech,Data Scientist,1,Bangalore,401958,,,
431,Zopper,Data Scientist,1,Bangalore,2360899,,,
432,Innodatatics,Data Scientist,1,Bangalore,845000,,,
433,myGate,Data Scientist,1,Bangalore,1343505,,,
434,Jaitra,Data Scientist,1,Bangalore,1517028,,,
435,SLK Group,Data Scientist,1,Bangalore,259682,,,
436,CAP FORCE,Data Scientist,1,Bangalore,18697,,,
437,Darashaw Consultants,Data Scientist,1,Bangalore,208977,,,
438,Tapzo,Data Scientist,1,Bangalore,26230,,,
439,Kapil IT Solutions,Data Scientist,1,Bangalore,206356,,,
440,LatentView Analytics,Data Scientist,1,Bangalore,462369,,,
441,K & K Technical Group,Data Scientist,1,Bangalore,212940,,,
442,Cornerstone OnDemand,Data Scientist,1,Bangalore,1883009,,,
443,TerraBlue XT,Data Scientist,1,Bangalore,421370,,,
444,Kabbage,Data Scientist,1,Bangalore,404907,,,
445,GetMyUni,Data Scientist,1,Bangalore,56,,,
446,Pluto7,Data Scientist,1,Bangalore,49235,,,
